"datetime","a_team","h_team","a_final","h_final"
"2016-12-04 02:00:00+00","dal","col",3,0
"2016-12-04 03:00:00+00","ana","edm",2,3
"2016-12-04 22:00:00+00","tbl","car",0,1
"2016-12-04 23:00:00+00","det","nyi",4,3
"2016-12-04 23:00:00+00","phi","nsh",4,2
"2016-12-05 00:00:00+00","wpg","chi",2,1
"2016-12-05 02:30:00+00","ana","cgy",3,8
"2016-12-05 02:30:00+00","min","edm",2,1
"2016-12-04 20:00:00+00","mtl","lak",5,4
"2016-12-06 00:00:00+00","fla","bos",3,4
"2016-12-06 00:00:00+00","ott","pit",5,8
"2016-12-06 00:00:00+00","buf","wsh",2,3
"2016-12-06 00:00:00+00","ari","cbj",1,4
"2016-12-07 00:00:00+00","edm","buf",3,4
"2016-12-07 00:00:00+00","van","njd",2,3
"2016-12-07 00:00:00+00","nyr","nyi",2,4
"2016-12-07 00:00:00+00","fla","phi",2,3
"2016-12-07 01:00:00+00","mtl","stl",2,3
"2016-12-07 01:00:00+00","col","nsh",3,4
"2016-12-07 01:00:00+00","det","wpg",4,3
"2016-12-07 01:30:00+00","ari","chi",0,4
"2016-12-07 01:30:00+00","cgy","dal",2,1
"2016-12-08 00:30:00+00","min","tor",3,2
"2016-12-08 01:00:00+00","bos","wsh",3,4
"2016-12-08 03:30:00+00","car","ana",5,6
"2016-12-08 03:30:00+00","ott","sjs",4,2
"2016-12-09 00:00:00+00","col","bos",4,2
"2016-12-09 00:00:00+00","stl","nyi",2,3
"2016-12-09 00:00:00+00","edm","phi",5,6
"2016-12-09 00:30:00+00","njd","mtl",2,5
"2016-12-09 00:30:00+00","van","tbl",5,1
"2016-12-09 00:30:00+00","pit","fla",5,1
"2016-12-09 01:00:00+00","nyr","wpg",2,1
"2016-12-09 01:30:00+00","nsh","dal",2,5
"2016-12-09 02:00:00+00","cgy","ari",2,1
"2016-12-09 03:30:00+00","car","lak",3,1
"2016-12-10 00:00:00+00","wsh","buf",4,1
"2016-12-10 00:30:00+00","cbj","det",4,1
"2016-12-10 00:30:00+00","stl","njd",4,1
"2016-12-10 01:00:00+00","edm","min",2,3
"2016-12-10 01:30:00+00","nyr","chi",1,0
"2016-12-10 03:00:00+00","sjs","ana",2,3
"2016-12-10 18:00:00+00","dal","phi",2,4
"2016-12-10 21:00:00+00","ott","lak",1,4
"2016-12-11 00:00:00+00","tor","bos",4,1
"2016-12-11 00:00:00+00","col","mtl",1,10
"2016-12-11 00:00:00+00","pit","tbl",4,3
"2016-12-11 00:00:00+00","van","fla",2,4
"2016-12-11 00:00:00+00","nyi","cbj",2,6
"2016-12-11 01:00:00+00","nsh","ari",1,4
"2016-12-11 03:00:00+00","wpg","cgy",2,6
"2016-12-11 03:30:00+00","car","sjs",3,4
"2016-12-11 21:00:00+00","ott","ana",1,5
"2016-12-11 22:00:00+00","phi","det",1,0
"2016-12-11 22:00:00+00","van","wsh",0,3
"2016-12-11 23:00:00+00","stl","min",1,3
"2016-12-12 00:00:00+00","col","tor",3,1
"2016-12-12 00:00:00+00","njd","nyr",0,5
"2016-12-12 00:00:00+00","dal","chi",1,3
"2016-12-12 02:30:00+00","wpg","edm",2,3
"2016-12-13 00:00:00+00","ari","pit",0,7
"2016-12-13 00:30:00+00","bos","mtl",2,1
"2016-12-14 00:00:00+00","lak","buf",3,6
"2016-12-14 00:00:00+00","wsh","nyi",4,2
"2016-12-14 00:00:00+00","chi","nyr",2,1
"2016-12-14 00:00:00+00","van","car",6,8
"2016-12-14 00:30:00+00","sjs","tor",3,2
"2016-12-14 00:30:00+00","ari","det",4,1
"2016-12-14 01:00:00+00","stl","nsh",3,6
"2016-12-14 01:00:00+00","fla","min",1,5
"2016-12-14 01:30:00+00","ana","dal",2,6
"2016-12-14 02:00:00+00","cbj","edm",3,1
"2016-12-15 00:00:00+00","sjs","ott",4,3
"2016-12-15 00:30:00+00","bos","pit",3,4
"2016-12-15 02:30:00+00","tbl","cgy",6,3
"2016-12-15 03:00:00+00","phi","col",4,3
"2016-12-16 00:00:00+00","ana","bos",4,3
"2016-12-16 00:00:00+00","chi","nyi",5,4
"2016-12-16 00:30:00+00","ari","tor",3,2
"2016-12-16 00:30:00+00","lak","det",4,1
"2016-12-16 01:00:00+00","njd","stl",2,5
"2016-12-16 01:00:00+00","min","nsh",5,2
"2016-12-16 01:00:00+00","fla","wpg",3,4
"2016-12-16 01:30:00+00","nyr","dal",2,0
"2016-12-17 00:00:00+00","nyi","buf",2,3
"2016-12-17 00:00:00+00","lak","pit",1,0
"2016-12-17 00:30:00+00","sjs","mtl",4,2
"2016-12-17 00:30:00+00","wsh","car",4,3
"2016-12-17 02:00:00+00","fla","col",3,1
"2016-12-17 02:00:00+00","cbj","cgy",4,1
"2016-12-17 03:00:00+00","tbl","van",2,4
"2016-12-17 19:00:00+00","phi","dal",1,3
"2016-12-17 19:00:00+00","ari","min",1,4
"2016-12-18 00:00:00+00","pit","tor",1,2
"2016-12-18 00:00:00+00","njd","ott",1,3
"2016-12-18 00:00:00+00","ana","det",4,6
"2016-12-18 00:00:00+00","mtl","wsh",2,1
"2016-12-18 00:00:00+00","buf","car",1,2
"2016-12-18 01:00:00+00","chi","stl",6,4
"2016-12-18 01:00:00+00","nyr","nsh",2,1
"2016-12-18 03:00:00+00","tbl","edm",2,3
"2016-12-18 18:00:00+00","lak","bos",0,1
"2016-12-18 20:00:00+00","col","wpg",1,4
"2016-12-18 21:00:00+00","cbj","van",4,3
"2016-12-19 00:00:00+00","ott","nyi",6,2
"2016-12-19 00:00:00+00","sjs","chi",1,4
"2016-12-19 00:30:00+00","njd","nyr",2,3
"2016-12-20 00:00:00+00","nsh","phi",2,1
"2016-12-20 00:30:00+00","ana","tor",3,2
"2016-12-20 01:00:00+00","edm","stl",3,2
"2016-12-20 02:00:00+00","cgy","ari",4,2
"2016-12-21 00:00:00+00","nyi","bos",4,2
"2016-12-21 00:00:00+00","nsh","njd",5,1
"2016-12-21 00:00:00+00","nyr","pit",2,7
"2016-12-21 00:00:00+00","lak","cbj",2,3
"2016-12-21 00:30:00+00","ana","mtl",1,5
"2016-12-21 00:30:00+00","det","tbl",1,4
"2016-12-21 00:30:00+00","buf","fla",3,4
"2016-12-21 01:00:00+00","col","min",0,2
"2016-12-21 01:30:00+00","ott","chi",4,3
"2016-12-21 01:30:00+00","stl","dal",3,2
"2016-12-21 03:00:00+00","wpg","van",1,4
"2016-12-21 03:30:00+00","cgy","sjs",1,4
"2016-12-22 01:00:00+00","wsh","phi",2,3
"2016-12-22 02:30:00+00","edm","ari",3,2
"2016-12-23 00:00:00+00","car","buf",3,1
"2016-12-23 00:00:00+00","phi","njd",0,4
"2016-12-23 00:00:00+00","pit","cbj",1,7
"2016-12-23 00:30:00+00","min","mtl",4,2
"2016-12-23 00:30:00+00","ana","ott",1,2
"2016-12-23 00:30:00+00","stl","tbl",2,5
"2016-12-23 00:30:00+00","bos","fla",3,1
"2016-12-23 01:00:00+00","lak","nsh",4,0
"2016-12-23 02:00:00+00","tor","col",6,0
"2016-12-23 03:00:00+00","wpg","van",4,1
"2016-12-24 00:00:00+00","buf","nyi",1,5
"2016-12-24 00:00:00+00","min","nyr",7,4
"2016-12-24 00:00:00+00","njd","pit",1,4
"2016-12-24 00:00:00+00","tbl","wsh",0,4
"2016-12-24 00:00:00+00","mtl","cbj",1,2
"2016-12-24 00:30:00+00","det","fla",4,3
"2016-12-24 00:30:00+00","bos","car",2,3
"2016-12-24 01:30:00+00","col","chi",2,1
"2016-12-24 01:30:00+00","lak","dal",2,3
"2016-12-24 02:00:00+00","van","cgy",1,4
"2016-12-24 02:00:00+00","tor","ari",4,1
"2016-12-24 03:30:00+00","edm","sjs",2,3
"2016-12-28 00:00:00+00","pit","njd",5,2
"2016-12-28 00:00:00+00","wsh","nyi",3,4
"2016-12-28 00:00:00+00","ott","nyr",3,4
"2016-12-28 00:00:00+00","bos","cbj",3,4
"2016-12-28 00:30:00+00","buf","det",4,3
"2016-12-28 01:00:00+00","min","nsh",3,2
"2016-12-28 01:30:00+00","wpg","chi",3,1
"2016-12-28 02:00:00+00","cgy","col",6,3
"2016-12-28 02:00:00+00","dal","ari",3,2
"2016-12-28 03:00:00+00","sjs","ana",3,2
"2016-12-29 00:00:00+00","tor","fla",3,2
"2016-12-29 00:00:00+00","car","pit",2,3
"2016-12-29 00:30:00+00","mtl","tbl",3,4
"2016-12-29 01:00:00+00","phi","stl",3,6
"2016-12-29 03:00:00+00","lak","van",1,2
"2016-12-30 00:00:00+00","bos","buf",4,2
"2016-12-30 00:00:00+00","njd","wsh",2,1
"2016-12-30 01:00:00+00","det","ott",3,2
"2016-12-30 00:30:00+00","tor","tbl",3,2
"2016-12-30 00:30:00+00","mtl","fla",3,2
"2016-12-30 01:00:00+00","chi","nsh",3,2
"2016-12-30 01:00:00+00","nyi","min",4,6
"2016-12-30 01:00:00+00","cbj","wpg",5,3
"2016-12-30 01:30:00+00","col","dal",2,4
"2016-12-30 02:00:00+00","ana","cgy",3,1
"2016-12-30 02:00:00+00","lak","edm",1,3
"2016-12-30 02:00:00+00","nyr","ari",6,3
"2016-12-31 00:30:00+00","chi","car",2,3
"2016-12-31 01:00:00+00","nsh","stl",4,0
"2016-12-31 03:00:00+00","ana","van",2,3
"2016-12-31 03:00:00+00","phi","sjs",0,2
"2016-12-31 18:00:00+00","buf","bos",1,3
"2016-12-31 18:00:00+00","wsh","njd",6,2
"2016-12-31 23:00:00+00","cbj","min",4,2
"2017-01-01 00:00:00+00","car","tbl",1,3
"2017-01-01 00:00:00+00","mtl","pit",3,4
"2017-01-01 00:00:00+00","nyi","wpg",6,2
"2017-01-01 01:00:00+00","fla","dal",3,1
"2017-01-01 01:00:00+00","nyr","col",6,2
"2017-01-01 03:00:00+00","ari","cgy",2,4
"2017-01-01 03:00:00+00","van","edm",3,2
"2017-01-01 03:30:00+00","sjs","lak",2,3
"2017-01-01 20:30:00+00","det","tor",4,5
"2017-01-02 00:30:00+00","ott","wsh",1,2
"2017-01-02 01:00:00+00","phi","ana",3,4
"2017-01-02 18:00:00+00","chi","stl",1,4
"2017-01-03 00:00:00+00","bos","njd",0,3
"2017-01-03 03:00:00+00","col","van",2,3
"2017-01-04 00:00:00+00","buf","nyr",4,1
"2017-01-04 00:00:00+00","tor","wsh",5,6
"2017-01-04 00:00:00+00","njd","car",3,1
"2017-01-04 00:00:00+00","edm","cbj",1,3
"2017-01-04 00:30:00+00","wpg","tbl",6,4
"2017-01-04 01:00:00+00","mtl","nsh",2,1
"2017-01-04 03:00:00+00","lak","sjs",2,1
"2017-01-05 00:00:00+00","wpg","fla",4,1
"2017-01-05 01:00:00+00","nyr","phi",5,2
"2017-01-05 01:00:00+00","mtl","dal",4,3
"2017-01-05 03:00:00+00","col","cgy",1,4
"2017-01-05 03:00:00+00","ari","van",0,3
"2017-01-05 03:30:00+00","det","ana",0,2
"2017-01-06 00:00:00+00","edm","bos",4,3
"2017-01-06 00:00:00+00","cbj","wsh",0,5
"2017-01-06 00:30:00+00","nsh","tbl",6,1
"2017-01-06 01:00:00+00","car","stl",4,2
"2017-01-06 01:30:00+00","buf","chi",3,4
"2017-01-06 03:30:00+00","det","lak",4,0
"2017-01-06 03:30:00+00","min","sjs",5,4
"2017-01-07 00:30:00+00","nsh","fla",1,2
"2017-01-07 00:30:00+00","tor","njd",4,2
"2017-01-07 01:30:00+00","car","chi",1,2
"2017-01-07 02:00:00+00","nyi","col",1,2
"2017-01-07 03:00:00+00","cgy","van",2,4
"2017-01-07 03:00:00+00","ari","ana",2,3
"2017-01-07 18:00:00+00","wpg","buf",3,4
"2017-01-07 18:00:00+00","tbl","phi",2,4
"2017-01-07 21:00:00+00","min","lak",3,4
"2017-01-08 00:00:00+00","mtl","tor",5,3
"2017-01-08 00:00:00+00","wsh","ott",1,0
"2017-01-08 00:00:00+00","bos","fla",4,0
"2017-01-08 00:00:00+00","edm","njd",2,1
"2017-01-08 00:00:00+00","nyr","cbj",5,4
"2017-01-08 01:00:00+00","dal","stl",3,4
"2017-01-08 01:00:00+00","nyi","ari",1,2
"2017-01-08 03:00:00+00","van","cgy",1,3
"2017-01-08 03:30:00+00","det","sjs",3,6
"2017-01-08 22:00:00+00","bos","car",3,4
"2017-01-08 22:00:00+00","tbl","pit",2,6
"2017-01-08 23:00:00+00","phi","cbj",1,2
"2017-01-09 00:00:00+00","nsh","chi",2,5
"2017-01-09 00:00:00+00","edm","ott",3,5
"2017-01-09 01:00:00+00","min","ana",2,1
"2017-01-10 00:00:00+00","fla","njd",3,0
"2017-01-10 00:30:00+00","wsh","mtl",4,1
"2017-01-10 01:00:00+00","cgy","wpg",0,2
"2017-01-10 03:30:00+00","dal","lak",6,4
"2017-01-11 00:00:00+00","phi","buf",1,4
"2017-01-11 00:00:00+00","cbj","car",3,5
"2017-01-11 01:00:00+00","bos","stl",5,3
"2017-01-11 01:00:00+00","van","nsh",1,2
"2017-01-11 01:30:00+00","det","chi",3,4
"2017-01-11 02:00:00+00","sjs","edm",5,3
"2017-01-11 03:00:00+00","dal","ana",0,2
"2017-01-12 00:00:00+00","fla","nyi",2,1
"2017-01-12 00:30:00+00","mtl","wpg",7,4
"2017-01-12 01:00:00+00","pit","wsh",2,5
"2017-01-12 02:30:00+00","sjs","cgy",2,3
"2017-01-13 00:00:00+00","van","phi",4,5
"2017-01-13 00:30:00+00","pit","ott",1,4
"2017-01-13 00:30:00+00","buf","tbl",2,4
"2017-01-13 01:00:00+00","bos","nsh",1,2
"2017-01-13 01:00:00+00","mtl","min",1,7
"2017-01-13 01:30:00+00","det","dal",2,5
"2017-01-13 02:00:00+00","ana","col",4,1
"2017-01-13 02:00:00+00","njd","edm",2,3
"2017-01-13 03:30:00+00","stl","lak",1,5
"2017-01-14 00:00:00+00","tor","nyr",4,2
"2017-01-14 00:00:00+00","chi","wsh",0,6
"2017-01-14 00:30:00+00","nyi","fla",5,2
"2017-01-14 00:30:00+00","buf","car",2,5
"2017-01-14 01:00:00+00","cbj","tbl",3,1
"2017-01-14 02:00:00+00","njd","cgy",2,1
"2017-01-14 02:00:00+00","wpg","ari",3,4
"2017-01-14 18:00:00+00","phi","bos",3,6
"2017-01-14 20:00:00+00","nsh","col",3,2
"2017-01-15 00:00:00+00","nyr","mtl",4,5
"2017-01-15 00:00:00+00","tor","ott",4,2
"2017-01-15 00:00:00+00","pit","det",3,6
"2017-01-15 00:00:00+00","cbj","fla",3,4
"2017-01-15 00:00:00+00","nyi","car",4,7
"2017-01-15 01:00:00+00","ana","ari",3,0
"2017-01-15 01:00:00+00","min","dal",5,4
"2017-01-15 03:00:00+00","wpg","lak",2,3
"2017-01-15 03:00:00+00","cgy","edm",1,2
"2017-01-15 03:30:00+00","stl","sjs",4,0
"2017-01-15 18:00:00+00","phi","wsh",0,5
"2017-01-16 00:00:00+00","njd","van",2,1
"2017-01-16 00:00:00+00","min","chi",3,2
"2017-01-16 02:00:00+00","stl","ana",2,1
"2017-01-16 18:00:00+00","nyi","bos",4,0
"2017-01-16 18:00:00+00","dal","buf",1,4
"2017-01-16 20:00:00+00","mtl","det",0,1
"2017-01-16 21:00:00+00","tbl","lak",2,1
"2017-01-16 21:00:00+00","wpg","sjs",2,5
"2017-01-17 00:00:00+00","wsh","pit",7,8
"2017-01-17 02:00:00+00","ari","edm",1,3
"2017-01-18 00:00:00+00","dal","nyr",7,6
"2017-01-18 00:00:00+00","car","cbj",1,4
"2017-01-18 00:30:00+00","buf","tor",3,4
"2017-01-18 01:00:00+00","ott","stl",6,4
"2017-01-18 01:00:00+00","njd","min",4,3
"2017-01-18 02:00:00+00","chi","col",6,4
"2017-01-18 02:00:00+00","fla","cgy",2,5
"2017-01-18 03:00:00+00","nsh","van",0,1
"2017-01-18 03:00:00+00","tbl","ana",1,2
"2017-01-19 00:30:00+00","ari","wpg",3,6
"2017-01-19 00:30:00+00","pit","mtl",4,1
"2017-01-19 01:00:00+00","bos","det",5,6
"2017-01-19 02:30:00+00","fla","edm",3,4
"2017-01-19 03:30:00+00","sjs","lak",3,2
"2017-01-20 00:00:00+00","dal","nyi",0,3
"2017-01-20 00:00:00+00","ott","cbj",2,0
"2017-01-20 00:30:00+00","nyr","tor",5,2
"2017-01-20 01:00:00+00","wsh","stl",7,3
"2017-01-20 01:00:00+00","ari","min",3,4
"2017-01-20 02:00:00+00","nsh","cgy",4,3
"2017-01-20 03:00:00+00","col","ana",1,2
"2017-01-20 03:30:00+00","tbl","sjs",1,2
"2017-01-21 00:00:00+00","chi","bos",1,0
"2017-01-21 00:00:00+00","det","buf",2,3
"2017-01-21 00:00:00+00","pit","car",7,1
"2017-01-21 00:30:00+00","mtl","njd",3,1
"2017-01-21 02:00:00+00","nsh","edm",3,2
"2017-01-21 03:00:00+00","fla","van",1,2
"2017-01-21 20:00:00+00","stl","wpg",3,5
"2017-01-21 22:00:00+00","car","cbj",2,3
"2017-01-22 00:00:00+00","ott","tor",3,2
"2017-01-22 00:00:00+00","buf","mtl",3,2
"2017-01-22 00:00:00+00","lak","nyi",2,4
"2017-01-22 00:00:00+00","njd","phi",4,1
"2017-01-22 01:00:00+00","tbl","ari",3,5
"2017-01-22 01:00:00+00","wsh","dal",4,3
"2017-01-22 02:00:00+00","ana","min",3,5
"2017-01-22 03:00:00+00","edm","cgy",7,3
"2017-01-22 03:30:00+00","col","sjs",2,3
"2017-01-22 17:30:00+00","nyr","det",1,0
"2017-01-22 20:00:00+00","bos","pit",1,5
"2017-01-22 22:00:00+00","cbj","ott",7,6
"2017-01-22 23:00:00+00","phi","nyi",3,2
"2017-01-23 00:30:00+00","van","chi",2,4
"2017-01-23 01:00:00+00","nsh","min",4,2
"2017-01-24 00:00:00+00","lak","nyr",2,3
"2017-01-24 00:00:00+00","car","wsh",1,6
"2017-01-24 00:30:00+00","cgy","tor",0,4
"2017-01-24 01:00:00+00","ana","wpg",3,2
"2017-01-24 02:00:00+00","sjs","col",5,2
"2017-01-24 02:00:00+00","fla","ari",2,3
"2017-01-25 00:00:00+00","det","bos",3,4
"2017-01-25 00:00:00+00","lak","njd",3,1
"2017-01-25 00:00:00+00","cbj","nyi",2,4
"2017-01-25 00:00:00+00","stl","pit",3,0
"2017-01-25 00:30:00+00","cgy","mtl",1,5
"2017-01-25 00:30:00+00","wsh","ott",0,3
"2017-01-25 01:00:00+00","buf","nsh",5,4
"2017-01-25 01:00:00+00","sjs","wpg",4,3
"2017-01-25 01:30:00+00","tbl","chi",5,2
"2017-01-25 01:30:00+00","min","dal",3,2
"2017-01-26 00:00:00+00","tor","det",4,0
"2017-01-26 01:00:00+00","phi","nyr",2,0
"2017-01-26 02:30:00+00","van","col",3,2
"2017-01-26 03:00:00+00","edm","ana",4,0
"2017-01-27 00:00:00+00","pit","bos",3,4
"2017-01-27 00:00:00+00","wsh","njd",5,2
"2017-01-27 00:00:00+00","mtl","nyi",1,3
"2017-01-27 00:00:00+00","tor","phi",1,2
"2017-01-27 00:00:00+00","lak","car",3,0
"2017-01-27 00:30:00+00","cgy","ott",3,2
"2017-01-27 00:30:00+00","tbl","fla",1,2
"2017-01-27 01:00:00+00","cbj","nsh",3,4
"2017-01-27 01:00:00+00","stl","min",1,5
"2017-01-27 01:30:00+00","wpg","chi",5,3
"2017-01-27 01:30:00+00","buf","dal",3,4
"2017-01-27 02:00:00+00","van","ari",0,3
"2017-01-27 03:30:00+00","edm","sjs",4,1
